Angle_deg,Suppression_%
0.0,29.99999999570647
0.5,2.00003941327987
1.0,2.0000310250490037
1.5,2.000026721121975
2.0,2.0000105469243517
2.5,2.000002012065963
3.0,2.000000113812962
3.5,2.0000002736682174
4.0,2.0000000708512045
4.5,2.000000022657746
5.0,2.0000000406181844
5.5,2.0000000148411536
6.0,2.0000000001507114
6.5,2.000000000186853
7.0,2.000000001940199
7.5,2.0000000016371877
8.0,2.0000000000000737
8.5,2.00000000052325
9.0,2.0000000005642224
9.5,2.0000000005176655
10.0,2.000000000008719
10.5,2.0000000002813807
11.0,2.0000000000028813
11.5,2.000000000003476
12.0,2.0000000000042752
12.5,2.0000000000387774
13.0,2.000000000316667
13.5,2.000000000294847
14.0,2.000000000079228
14.5,2.0000000000050195
15.0,2.0000000000018456
15.5,2.0000000000080367
16.0,2.000000000004913
16.5,2.0000000000001803
17.0,2.0000000000044422
17.5,2.0000000000137965
18.0,2.00000000001667
18.5,2.0000000000000533
19.0,2.000000000000289
19.5,2.000000000006762
20.0,2.000000000036998
20.5,2.000000000000599
21.0,2.0000000000137335
21.5,2.000000000006409
22.0,2.000000000000001
22.5,2.0000000000016875
23.0,2.000000000001498
23.5,2.000000000000198
24.0,2.0000000000023936
24.5,2.0000000000015077
25.0,2.0000000000010023
25.5,2.00000000000035
26.0,2.0000000000000067
26.5,2.000000000000277
27.0,2.000000000000139
27.5,2.000000000002262
28.0,2.000000000001316
28.5,2.0000000000027893
29.0,2.000000000027609
29.5,2.000000000000144
30.0,2.0000000000283182
30.5,2.000000000000144
31.0,2.0000000000276072
31.5,2.000000000002789
32.0,2.0000000000013163
32.5,2.000000000002262
33.0,2.000000000000139
33.5,2.000000000000277
34.0,2.0000000000000067
34.5,2.00000000000035
35.0,2.0000000000010028
35.5,2.0000000000015077
36.0,2.0000000000023928
36.5,2.000000000000198
37.0,2.0000000000014975
37.5,2.0000000000016867
38.0,2.000000000000001
38.5,2.0000000000064087
39.0,2.000000000013737
39.5,2.000000000000599
40.0,2.000000000037
40.5,2.000000000006762
41.0,2.000000000000288
41.5,2.0000000000000533
42.0,2.0000000000166733
42.5,2.000000000013797
43.0,2.000000000004442
43.5,2.0000000000001803
44.0,2.000000000004912
44.5,2.0000000000080385
45.0,2.000000000001846
45.5,2.0000000000050187
46.0,2.0000000000792286
46.5,2.0000000002948553
47.0,2.000000000316663
47.5,2.000000000038778
48.0,2.0000000000042752
48.5,2.0000000000034754
49.0,2.0000000000028813
49.5,2.000000000281382
50.0,2.000000000008715
50.5,2.0000000005176664
51.0,2.0000000005642167
51.5,2.0000000005232317
52.0,2.0000000000000737
52.5,2.0000000016371797
53.0,2.000000001940182
53.5,2.000000000186857
54.0,2.0000000001507154
54.5,2.000000014841055
55.0,2.000000040618176
55.5,2.000000022657776
56.0,2.000000070851048
56.5,2.000000273667956
57.0,2.000000113812944
57.5,2.0000020120664352
58.0,2.0000105469239977
58.5,2.00002672112138
59.0,2.0000310250516606
59.5,2.000039413274041
60.0,30.000000000000004
60.5,2.000039413278841
61.0,2.000031025049618
61.5,2.0000267211217477
62.0,2.0000105469233955
62.5,2.0000020120652584
63.0,2.000000113813121
63.5,2.000000273668087
64.0,2.0000000708510304
64.5,2.0000000226578516
65.0,2.000000040618195
65.5,2.0000000148410804
66.0,2.0000000001507123
66.5,2.00000000018686
67.0,2.000000001940178
67.5,2.000000001637172
68.0,2.0000000000000737
68.5,2.0000000005232317
69.0,2.0000000005642082
69.5,2.000000000517667
70.0,2.000000000008717
70.5,2.000000000281375
71.0,2.000000000002881
71.5,2.0000000000034763
72.0,2.000000000004276
72.5,2.000000000038781
73.0,2.000000000316667
73.5,2.0000000002948517
74.0,2.000000000079226
74.5,2.000000000005019
75.0,2.0000000000018456
75.5,2.000000000008038
76.0,2.0000000000049134
76.5,2.0000000000001803
77.0,2.0000000000044404
77.5,2.0000000000137974
78.0,2.0000000000166733
78.5,2.0000000000000533
79.0,2.000000000000289
79.5,2.000000000006761
80.0,2.000000000036998
80.5,2.0000000000005995
81.0,2.0000000000137375
81.5,2.0000000000064087
82.0,2.000000000000001
82.5,2.0000000000016867
83.0,2.0000000000014966
83.5,2.000000000000198
84.0,2.0000000000023936
84.5,2.0000000000015072
85.0,2.0000000000010028
85.5,2.00000000000035
86.0,2.0000000000000067
86.5,2.000000000000277
87.0,2.000000000000139
87.5,2.0000000000022626
88.0,2.000000000001316
88.5,2.0000000000027893
89.0,2.0000000000276095
89.5,2.000000000000144
90.0,2.000000000028317
90.5,2.000000000000144
91.0,2.000000000027611
91.5,2.0000000000027893
92.0,2.000000000001316
92.5,2.000000000002262
93.0,2.000000000000139
93.5,2.000000000000277
94.0,2.0000000000000067
94.5,2.0000000000003504
95.0,2.000000000001003
95.5,2.0000000000015077
96.0,2.0000000000023945
96.5,2.000000000000198
97.0,2.0000000000014975
97.5,2.000000000001687
98.0,2.000000000000001
98.5,2.000000000006408
99.0,2.000000000013736
99.5,2.0000000000005995
100.0,2.0000000000369966
100.5,2.00000000000676
101.0,2.000000000000289
101.5,2.0000000000000533
102.0,2.0000000000166716
102.5,2.0000000000137974
103.0,2.0000000000044404
103.5,2.0000000000001803
104.0,2.0000000000049134
104.5,2.0000000000080376
105.0,2.000000000001845
105.5,2.000000000005018
106.0,2.0000000000792264
106.5,2.000000000294851
107.0,2.0000000003166716
107.5,2.0000000000387783
108.0,2.0000000000042757
108.5,2.000000000003476
109.0,2.0000000000028813
109.5,2.0000000002813794
110.0,2.0000000000087197
110.5,2.00000000051767
111.0,2.00000000056422
111.5,2.00000000052324
112.0,2.0000000000000737
112.5,2.000000001637172
113.0,2.000000001940183
113.5,2.0000000001868576
114.0,2.00000000015071
114.5,2.0000000148411217
115.0,2.000000040618154
115.5,2.000000022657767
116.0,2.000000070851031
116.5,2.0000002736683635
117.0,2.000000113813109
117.5,2.0000020120655977
118.0,2.0000105469235634
118.5,2.000026721124774
119.0,2.0000310250502236
119.5,2.000039413281526
120.0,29.99999999927226
